G,W,ORB,FTR,2P_O,3P_O,P_V
35,26,32.1,28.9,44.1,34.9,0.7428571428571429
31,25,34.7,36.6,48.0,38.4,0.8064516129032258
34,21,30.9,42.2,48.5,35.0,0.6176470588235294
33,24,31.2,36.5,51.6,35.7,0.7272727272727273
33,25,28.7,35.3,47.7,33.5,0.7575757575757576
33,26,30.6,34.8,55.0,36.0,0.7878787878787878
28,20,32.4,38.9,45.5,34.3,0.7142857142857143
29,23,24.1,24.4,50.5,37.6,0.7931034482758621
32,24,23.8,33.4,53.3,34.8,0.75
29,22,26.3,30.1,56.0,36.5,0.7586206896551724
33,22,29.2,32.4,52.5,37.0,0.6666666666666666
35,22,27.0,31.0,49.3,39.7,0.6285714285714286
34,20,24.5,30.2,51.5,38.3,0.5882352941176471
33,17,25.1,36.8,53.2,35.1,0.5151515151515151
33,23,34.5,42.6,47.6,34.1,0.696969696969697
34,19,31.8,41.6,49.0,33.7,0.5588235294117647
35,22,38.1,32.5,48.5,31.7,0.6285714285714286
35,17,31.8,43.8,45.6,30.4,0.4857142857142857
31,20,34.5,41.3,47.3,30.5,0.6451612903225806
34,20,26.7,36.3,46.5,37.0,0.5882352941176471
33,23,22.0,40.4,54.4,32.6,0.696969696969697
33,23,30.0,37.7,47.0,34.4,0.696969696969697
35,28,30.4,41.3,49.2,38.2,0.8
32,22,31.6,35.1,52.0,34.1,0.6875
34,29,27.2,40.8,54.9,34.7,0.8529411764705882
34,28,32.0,36.7,54.2,35.7,0.8235294117647058
35,20,31.0,35.5,47.4,37.5,0.5714285714285714
36,20,23.1,32.4,49.4,35.8,0.5555555555555556
33,21,29.5,35.7,51.0,40.1,0.6363636363636364
32,21,28.9,32.2,56.4,37.7,0.65625
34,16,31.9,47.0,51.0,34.7,0.47058823529411764
33,20,31.2,33.4,50.8,37.2,0.6060606060606061
30,26,32.9,37.3,54.4,37.2,0.8666666666666667
32,27,25.3,28.5,59.2,37.0,0.84375
34,25,35.0,43.8,52.2,38.1,0.7352941176470589
34,23,32.4,41.7,51.1,36.3,0.6764705882352942
33,21,34.8,40.5,43.9,38.6,0.6363636363636364
31,18,29.0,36.8,46.9,37.4,0.5806451612903226
34,21,32.1,35.1,49.4,38.7,0.6176470588235294
35,27,33.2,36.9,56.7,36.9,0.7714285714285715
34,23,31.7,43.8,50.8,33.6,0.6764705882352942
32,19,27.7,30.4,52.8,40.8,0.59375
35,15,23.1,36.1,47.2,32.6,0.42857142857142855
35,26,26.8,37.2,54.3,37.9,0.7428571428571429
35,25,27.0,42.6,55.0,34.8,0.7142857142857143
34,24,30.2,28.4,53.5,39.5,0.7058823529411765
35,22,30.8,40.1,50.9,35.1,0.6285714285714286
33,24,25.6,30.9,50.9,38.7,0.7272727272727273
33,24,23.0,35.4,51.2,38.1,0.7272727272727273
33,26,29.4,37.6,49.1,36.8,0.7878787878787878
33,27,32.3,41.6,50.7,35.6,0.8181818181818182
33,27,30.1,42.8,55.0,38.2,0.8181818181818182
32,27,33.7,26.0,51.1,35.0,0.84375
33,21,32.2,47.7,47.2,34.2,0.6363636363636364
33,22,33.9,33.5,50.1,33.9,0.6666666666666666
34,21,34.8,36.1,46.8,33.2,0.6176470588235294
35,19,24.8,34.8,48.1,37.6,0.5428571428571428
35,23,28.8,37.4,51.2,39.5,0.6571428571428571
32,20,30.3,38.3,50.3,39.0,0.625
33,20,30.2,30.9,52.7,35.8,0.6060606060606061
34,23,34.7,32.7,53.4,37.7,0.6764705882352942
31,26,37.6,41.9,55.4,37.3,0.8387096774193549
31,28,32.0,40.5,51.7,37.4,0.9032258064516129
30,27,27.0,34.0,49.5,37.7,0.9
31,21,26.1,35.7,45.5,38.2,0.6774193548387096
32,24,32.4,40.2,49.7,36.1,0.75
33,18,27.1,39.9,52.7,35.8,0.5454545454545454
31,28,24.6,35.4,50.7,39.3,0.9032258064516129
33,19,20.7,32.2,52.1,36.7,0.5757575757575758
35,22,33.8,46.8,50.0,32.2,0.6285714285714286
35,23,31.7,44.3,50.0,29.6,0.6571428571428571
36,16,28.5,42.9,48.5,35.9,0.4444444444444444
32,21,39.3,44.3,49.3,36.2,0.65625
30,21,34.1,38.0,48.5,34.3,0.7
31,28,35.6,43.3,54.2,33.5,0.9032258064516129
31,28,33.8,29.1,52.0,34.0,0.9032258064516129
33,30,37.0,34.6,56.7,34.0,0.9090909090909091
34,22,31.2,29.1,52.3,37.8,0.6470588235294118
35,26,35.2,38.8,50.3,39.5,0.7428571428571429
34,27,39.1,38.7,46.6,33.5,0.7941176470588235
33,23,32.4,39.4,48.7,37.9,0.696969696969697
35,26,34.9,35.2,45.6,34.9,0.7428571428571429
33,24,34.3,39.2,49.9,34.6,0.7272727272727273
35,25,29.6,42.3,51.1,32.4,0.7142857142857143
34,27,32.5,46.7,51.7,33.2,0.7941176470588235
35,23,34.0,48.3,48.6,31.8,0.6571428571428571
33,20,34.7,40.3,48.3,33.1,0.6060606060606061
34,21,28.0,49.7,51.3,36.4,0.6176470588235294
33,21,24.5,42.5,48.8,39.0,0.6363636363636364
34,22,34.9,47.6,49.2,36.9,0.6470588235294118
34,24,29.5,43.6,52.3,37.9,0.7058823529411765
33,24,35.1,46.6,50.2,36.4,0.7272727272727273
32,19,25.7,42.3,47.4,33.3,0.59375
35,22,35.3,41.9,46.5,34.7,0.6285714285714286
36,22,34.1,37.0,51.5,30.5,0.6111111111111112
35,25,29.1,43.9,49.5,34.7,0.7142857142857143
33,25,34.4,55.5,48.7,36.9,0.7575757575757576
35,25,37.7,53.9,52.9,36.1,0.7142857142857143
34,21,30.2,47.1,49.2,32.7,0.6176470588235294
32,20,36.5,44.3,49.6,37.1,0.625
32,26,35.4,49.5,50.8,32.5,0.8125
32,22,31.0,51.4,53.7,32.6,0.6875
33,20,26.5,35.0,55.1,37.9,0.6060606060606061
32,22,23.0,43.2,55.7,38.6,0.6875
34,20,28.6,44.7,49.1,32.7,0.5882352941176471
30,17,30.9,33.0,47.4,34.6,0.5666666666666667
34,19,31.9,42.0,47.0,36.0,0.5588235294117647
32,12,30.9,33.2,44.2,33.0,0.375
31,18,34.2,38.6,47.6,32.6,0.5806451612903226
29,17,28.4,49.7,51.1,39.4,0.5862068965517241
32,25,30.4,36.8,50.2,35.3,0.78125
35,29,29.3,45.7,46.1,35.1,0.8285714285714286
34,26,38.5,31.7,46.8,35.8,0.7647058823529411
35,23,32.6,29.7,48.0,33.0,0.6571428571428571
33,24,31.3,40.5,49.5,31.6,0.7272727272727273
34,24,33.3,36.7,48.9,32.6,0.7058823529411765
35,25,30.7,33.1,48.9,33.3,0.7142857142857143
35,25,34.0,32.0,50.6,37.0,0.7142857142857143
33,24,40.4,37.5,51.5,34.9,0.7272727272727273
35,24,34.7,40.9,52.8,39.1,0.6857142857142857
33,19,33.1,50.6,46.0,33.2,0.5757575757575758
34,23,38.7,35.0,51.4,33.9,0.6764705882352942
32,20,33.2,35.4,47.6,32.3,0.625
33,21,33.6,40.9,47.0,34.4,0.6363636363636364
34,22,38.7,35.5,45.5,31.6,0.6470588235294118
31,24,29.7,32.8,56.9,37.2,0.7741935483870968
33,27,29.3,35.7,48.3,35.8,0.8181818181818182
34,27,36.9,37.0,52.3,37.3,0.7941176470588235
32,25,37.6,36.9,52.1,32.7,0.78125
32,22,28.9,33.0,50.4,38.9,0.6875
30,23,25.1,40.6,52.0,36.4,0.7666666666666667
34,23,36.9,47.0,49.8,31.8,0.6764705882352942
28,19,34.8,40.3,50.0,31.0,0.6785714285714286
33,25,29.0,38.9,52.0,36.6,0.7575757575757576
33,25,31.2,41.7,55.7,37.1,0.7575757575757576
33,20,29.2,37.7,46.8,38.9,0.6060606060606061
34,20,32.8,32.7,50.4,36.7,0.5882352941176471
35,24,31.7,40.0,46.7,37.0,0.6857142857142857
35,19,34.8,37.6,48.3,32.7,0.5428571428571428
